^2022^|^01^|^450491^|^089^|^01^|^WA^|^3676^|^EBA^|^01^|^55^|^1^|^994^|^Layanan Perkantoran^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4210^|^UAG^|^01^|^55^|^1^|^U03^|^Rekomendasi hasil pengawasan kinerja pembangunan atas program prioritas nasional yang ditargetkan^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4210^|^UAG^|^01^|^55^|^1^|^U08^|^Rekomendasi hasil pengawasan manajemen risiko atas kualitas pengendalian intern K/L^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3669^|^EBA^|^01^|^55^|^1^|^956^|^Layanan BMN^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3669^|^EBA^|^01^|^55^|^1^|^962^|^Layanan Umum^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3669^|^EBA^|^01^|^55^|^1^|^994^|^Layanan Perkantoran^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4225^|^UAG^|^01^|^55^|^1^|^U03^|^Rekomendasi hasil pengawasan kinerja pembangunan atas program prioritas nasional yang ditargetkan^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4225^|^UAG^|^01^|^55^|^1^|^U10^|^Rekomendasi hasil pengawasan manajemen risiko atas kualitas pengendalian intern Badan Usaha^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^CH^|^4219^|^UAG^|^01^|^55^|^1^|^U03^|^Rekomendasi hasil pengawasan kinerja pembangunan atas program prioritas nasional yang ditargetkan^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3665^|^EBA^|^01^|^55^|^1^|^957^|^Layanan Hukum^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3665^|^EBA^|^01^|^55^|^1^|^958^|^Layanan Hubungan Masyarakat^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
^2022^|^01^|^450491^|^089^|^01^|^WA^|^3665^|^EBA^|^01^|^55^|^1^|^969^|^Layanan Bantuan Hukum^|^0^|^^|^0^|^^|^^|^1^|^0^|^00^|^^|^^|^^
